Sentimento,SentimentoTexto
1,Me senti bem atendido
0,Atraso no atendimento
1,Profissionalismo de alto nível
0,Falha na resolução do meu problema
1,Solução rápida e eficaz
0,Atendimento desorganizado
1,Me surpreendi com a qualidade
0,Muito insatisfeito com o resultado
1,Profissionalismo de alto nível
0,Demorou muito para ser atendido
1,Solução rápida e eficaz
0,Não recomendo
1,Serviço superou minhas expectativas
0,Não recomendo
1,Profissionalismo de alto nível
0,Experiência muito frustrante
1,Serviço rápido e eficiente.
0,Pouca atenção ao cliente
1,Profissionalismo de alto nível
0,Muito insatisfeito com o resultado
1,Equipe muito atenciosa
0,Não solucionaram meu problema
1,Serviço superou minhas expectativas
0,Serviço deixou a desejar
1,Atendimento personalizado e eficaz
0,Serviço abaixo do esperado
1,Me senti bem atendido
0,Não gostei do atendimento
1,Muita eficiência e cordialidade
0,Senti falta de cordialidade
1,Me senti bem atendido
0,Esperava mais qualidade
1,Serviço rápido e eficiente.
0,Esperava mais qualidade
1,Me surpreendi com a qualidade
0,Não solucionaram meu problema
1,Atendimento personalizado e eficaz
0,A solução foi insuficiente
1,"Serviço excelente, voltarei mais vezes"
0,Serviço abaixo do esperado
1,Muita eficiência e cordialidade
0,Atendimento desorganizado
1,Serviço rápido e eficiente.
0,Serviço deixou a desejar
1,Profissionalismo de alto nível
0,Parece que não se importam com o cliente
1,Atendimento impecável
0,Não gostei do atendimento
1,Equipe muito atenciosa
0,Não solucionaram meu problema
1,Serviço superou minhas expectativas
0,Muito insatisfeito com o resultado
1,Muita eficiência e cordialidade
0,Não gostei do atendimento
1,Profissionalismo de alto nível
0,A solução foi insuficiente
1,Ótimo serviço prestado
0,Não solucionaram meu problema
1,Tudo ocorreu perfeitamente
0,Experiência muito frustrante
1,Satisfação garantida
0,Demorou muito para ser atendido
1,Resultado melhor que o esperado
0,Serviço deixou a desejar
1,Foi uma experiência incrível
0,Falha na resolução do meu problema
1,Serviço superou minhas expectativas
0,Esperava mais qualidade
1,Me senti bem atendido
0,Esperava um tratamento melhor
1,Serviço superou minhas expectativas
0,Serviço deixou a desejar
1,Atendimento impecável
0,Esperava mais qualidade
1,Altamente recomendável
0,Não solucionaram meu problema
1,Atendimento exemplar
0,Parece que não se importam com o cliente
1,Me senti bem atendido
0,Parece que não se importam com o cliente
1,Atendimento personalizado e eficaz
0,Péssima comunicação
1,Altamente recomendável
0,Pouca atenção ao cliente
1,Muito satisfeito com o atendimento
0,A solução foi insuficiente
1,Resultado melhor que o esperado
0,Atendimento desorganizado
1,Satisfação garantida
0,Falha na resolução do meu problema
1,Profissionalismo de alto nível
0,Não recomendo
1,"Serviço excelente, voltarei mais vezes"
0,Não solucionaram meu problema
1,Equipe muito atenciosa
0,Não solucionaram meu problema
1,Solução rápida e eficaz
0,Atendimento rude e lento
1,Me senti bem atendido
0,A solução foi insuficiente
